0;0;0;
100;6791;1511;
200;25338;5801;
300;54627;13384;
400;94593;24015;
500;144758;37748;
600;204538;54724;
700;273913;73283;
800;353742;94991;
900;443602;120892;
1000;544005;149168;
1100;654093;179618;
1200;773289;216040;
1300;903505;252627;
1400;1044160;291746;
1500;1193321;334407;
1600;1353830;386028;
1700;1523794;432526;
1800;1702962;482165;
1900;1893913;539345;
2000;2093479;595763;
2100;2303293;659406;
2200;2523390;720692;
2300;2753160;793714;
2400;2992632;862970;
2500;3241098;935483;
2600;3502539;1011747;
2700;3771650;1090206;
2800;4052701;1180739;
2900;4342688;1249760;
3000;4641051;1339349;
3100;4951554;1432504;
3200;5271611;1530552;
3300;5601424;1621355;
3400;5941472;1736889;
3500;6291211;1823327;
3600;6651242;1936535;
3700;7021702;2054549;
3800;7400264;2164763;
3900;7791524;2272934;
4000;8191076;2389684;
4100;8602281;2510867;
4200;9021391;2629158;
4300;9450123;2761478;
4400;9890946;2894073;
4500;10342022;3024213;
4600;10800722;3154555;
4700;11269894;3316517;
4800;11750904;3433651;
4900;12239624;3578287;
5000;12739778;3715313;
5100;13250205;3879513;
5200;13770878;4046321;
5300;14299198;4206738;
5400;14841907;4366154;
5500;15389891;4520936;
5600;15949615;4683483;
5700;16520815;4880803;
5800;17100505;5051418;
5900;17688897;5192309;
6000;18290602;5388326;
6100;18898477;5558999;
6200;19521605;5738384;
6300;20148531;5931251;
6400;20790630;6134345;
6500;21439327;6325300;
6600;22099841;6518467;
6700;22767102;6719819;
6800;23449289;6915133;
6900;24137530;7124217;
7000;24836956;7337316;
7100;25545928;7544983;
7200;26267728;7758001;
7300;26998610;7957019;
7400;27737577;8134262;
7500;28486965;8390353;
7600;29246530;8616637;
7700;30018439;8853193;
7800;30797697;9106921;
7900;31586406;9314740;
8000;32387395;9563299;
8100;33193046;9792875;
8200;34017167;10098258;
8300;34848511;10248629;
8400;35687379;10559344;
8500;36536587;10755629;
8600;37395597;11139508;
8700;38264630;11313277;
8800;39149352;11574727;
8900;40035391;11844259;
9000;40936454;12111047;
9100;41846199;12393530;
9200;42765727;12607800;
9300;43694977;12920020;
9400;44638147;13173888;
9500;45586075;13544390;
9600;46544848;13720446;
9700;47515500;14079117;
9800;48493480;14362928;
9900;49487401;14724379;
